start,end,ema,ma,sigma,max,min,up,down,flat
1997-12-31,1998-01-06,431.044,431.044,5.425,438.481,424.969,2,1,1
1998-01-07,1998-01-13,424.448,424.448,11.331,439.154,408.728,1,3,0
1998-01-14,1998-01-20,422.315,422.315,6.195,430.791,414.834,3,1,0
1998-01-21,1998-01-27,424.879,424.879,2.676,428.284,422.025,2,2,0
1998-01-28,1998-02-03,446.122,446.122,5.655,453.252,439.102,4,0,0
1998-02-04,1998-02-10,452.381,452.381,2.933,456.355,448.695,2,2,0
1998-02-11,1998-02-17,455.016,455.016,3.877,460.24,450.248,2,2,0
1998-02-18,1998-02-24,461.419,461.419,2.628,465.754,458.24,2,2,0
1998-02-25,1998-03-03,470.631,470.631,4.17,475.714,463.582,4,0,0
1998-03-04,1998-03-10,473.284,473.284,7.131,483.443,462.34,3,1,0
1998-03-11,1998-03-17,487.851,487.851,4.1,494.668,483.276,3,1,0
1998-03-18,1998-03-24,497.143,497.143,4.01,502.824,491.972,3,1,0
1998-03-25,1998-03-31,507.836,507.836,2.233,510.235,503.976,2,2,0
1998-04-01,1998-04-07,523.662,523.662,7.251,535.705,515.421,4,0,0
1998-04-08,1998-04-14,531.918,531.918,3.339,537.478,526.946,2,0,2
1998-04-15,1998-04-21,536.246,536.246,5.992,544.2,526.875,1,3,0
1998-04-22,1998-04-28,517.264,517.264,12.101,536.065,501.867,0,4,0
1998-04-29,1998-05-05,517.401,517.401,8.521,531.466,510.744,1,2,1
1998-05-06,1998-05-12,526.253,526.253,5.366,534.169,518.623,2,2,0
1998-05-13,1998-05-19,537.26,537.26,1.855,539.314,534.285,2,2,0
1998-05-20,1998-05-26,556.112,556.112,4.93,564.429,551.098,3,0,1
1998-05-27,1998-06-02,553.857,553.857,4.335,558.278,548.126,2,1,1
1998-06-03,1998-06-09,568.677,568.677,7.499,577.909,559.248,2,2,0
1998-06-10,1998-06-16,565.973,565.973,8.972,575.446,552.732,1,2,1
1998-06-17,1998-06-23,570.07,570.07,2.373,571.871,565.475,2,2,0
1998-06-24,1998-06-30,586.591,586.591,4.655,591.513,577.991,3,1,0
1998-07-01,1998-07-07,592.869,592.869,2.379,596.098,590.41,2,2,0
1998-07-08,1998-07-14,602.142,602.142,3.913,609.528,598.242,2,2,0
1998-07-15,1998-07-21,613.742,613.742,3.095,617.143,609.402,2,2,0
