Date,PX_LAST
1997-12-25,412.179
1997-12-26,412.179
1997-12-29,419.737
1997-12-30,424.969
1997-12-31,424.969
1998-01-01,424.969
1998-01-02,431.537
1998-01-05,438.481
1998-01-06,435.263
1998-01-07,439.154
1998-01-08,434.723
1998-01-09,423.694
1998-01-12,408.728
1998-01-13,415.94
1998-01-14,419.008
1998-01-15,414.834
1998-01-16,418.446
1998-01-19,428.494
1998-01-20,430.791
1998-01-21,428.284
1998-01-22,422.025
1998-01-23,423.731
1998-01-26,422.478
1998-01-27,427.876
1998-01-28,439.102
1998-01-29,441.938
1998-01-30,444.038
1998-02-02,452.281
1998-02-03,453.252
1998-02-04,448.695
1998-02-05,454.846
1998-02-06,449.633
1998-02-09,456.355
1998-02-10,452.375
1998-02-11,458.843
1998-02-12,453.683
1998-02-13,450.248
1998-02-16,452.064
1998-02-17,460.24
1998-02-18,462.883
1998-02-19,458.24
1998-02-20,460.265
1998-02-23,465.754
1998-02-24,459.954
1998-02-25,463.582
1998-02-26,469.203
1998-02-27,470.983
1998-03-02,473.674
1998-03-03,475.714
1998-03-04,470.958
1998-03-05,462.34
1998-03-06,471.595
1998-03-09,478.083
1998-03-10,483.443
1998-03-11,483.276
1998-03-12,483.96
1998-03-13,488.965
1998-03-16,488.385
1998-03-17,494.668
1998-03-18,491.972
1998-03-19,493.632
1998-03-20,500.155
1998-03-23,497.132
1998-03-24,502.824
1998-03-25,509.662
1998-03-26,503.976
1998-03-27,508.316
1998-03-30,506.99
1998-03-31,510.235
1998-04-01,515.421
1998-04-02,517.666
1998-04-03,522.352
1998-04-06,527.165
1998-04-07,535.705
1998-04-08,526.946
1998-04-09,531.722
1998-04-10,531.722
1998-04-13,531.722
1998-04-14,537.478
1998-04-15,538.847
1998-04-16,532.414
1998-04-17,526.875
1998-04-20,544.2
1998-04-21,538.894
1998-04-22,536.065
1998-04-23,525.146
1998-04-24,514.428
1998-04-27,508.813
1998-04-28,501.867
1998-04-29,510.848
1998-04-30,510.744
1998-05-01,510.744
1998-05-04,531.466
1998-05-05,523.203
1998-05-06,522.98
1998-05-07,518.623
1998-05-08,525.758
1998-05-11,534.169
1998-05-12,529.735
1998-05-13,537.688
1998-05-14,536.122
1998-05-15,539.314
1998-05-18,534.285
1998-05-19,538.89
1998-05-20,551.098
1998-05-21,551.098
1998-05-22,556.421
1998-05-25,557.516
1998-05-26,564.429
1998-05-27,549.064
1998-05-28,548.126
1998-05-29,556.908
1998-06-01,556.908
1998-06-02,558.278
1998-06-03,561.376
1998-06-04,559.248
1998-06-05,568.85
1998-06-08,577.909
1998-06-09,576.003
1998-06-10,575.446
1998-06-11,575.446
1998-06-12,567.083
1998-06-15,552.732
1998-06-16,559.157
1998-06-17,570.936
1998-06-18,571.806
1998-06-19,570.261
1998-06-22,565.475
1998-06-23,571.871
1998-06-24,577.991
1998-06-25,586.663
1998-06-26,587.042
1998-06-29,591.513
1998-06-30,589.744
1998-07-01,590.685
1998-07-02,590.41
1998-07-03,595.316
1998-07-06,591.837
1998-07-07,596.098
1998-07-08,601.314
1998-07-09,599.677
1998-07-10,598.242
1998-07-13,601.948
1998-07-14,609.528
1998-07-15,610.824
1998-07-16,609.402
1998-07-17,614.787
1998-07-20,617.143
1998-07-21,616.552
1998-07-22,611.073
1998-07-23,605.845
1998-07-24,603.528
1998-07-27,588.5
1998-07-28,588.901
1998-07-29,585.363
1998-07-30,588.087
1998-07-31,587.392
1998-08-03,575.877
1998-08-04,575.62
1998-08-05,563.251
1998-08-06,551.764
1998-08-07,558.122
1998-08-10,547.625
